"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Code_1 (10)";"Code_2 (15)";"Code_3 (15)";"Code_4 (10)";"Code_5 (-5)";"Code_6 (-5)";"Total_Marks (100)";"Comments"
23MT30029;10;10;0;0;0;10;12;12;10;0;-2;62;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total number of kilometers travelled~~Enter number of hours the taxi was retained~~The taxi fare is 304 rupees~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total number of kilometers travelled~~Enter number of hours the taxi was retained~~The taxi fare is 602 rupees~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total number of kilometers travelled~~Enter number of hours the taxi was retained~~The taxi fare is 1120 rupees~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 62/100 ##########
23CH10066;10;10;10;10;10;10;15;15;10;0;-2;98;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 98/100 ##########
21GG10028;0;0;0;0;0;10;0;0;0;0;-2;8;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 0 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 0 out of 15~~~~~~FAILED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 8/100 ##########
23HS10010;10;10;0;0;0;10;12;12;10;0;-2;62;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the amount kilometers travelled and hours travelled:~~The Total fare will be 228~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the amount kilometers travelled and hours travelled:~~The Total fare will be 526~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the amount kilometers travelled and hours travelled:~~The Total fare will be 1120~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 62/100 ##########
23AG30039;10;10;0;0;10;10;12;15;10;-2;-5;70;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the number of kilometers for which the taxi was retained: ~~enter the number of hours for which the taxi was retained: ~~the taxi fare is:278~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the number of kilometers for which the taxi was retained: ~~enter the number of hours for which the taxi was retained: ~~the taxi fare is:656~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 70/100 ##########
23CS30029;0;10;10;10;10;10;15;15;10;0;0;90;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the total number of Kilometers travelled : Enter the total hours the taxi has been retained : The total taxi fare is 220~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 90/100 ##########
23MI10052;10;10;10;10;10;10;15;15;10;0;-2;98;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 98/100 ##########
# 23IM10008;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MA10016;10;10;10;10;10;10;15;15;10;0;-2;98;Amazing logic for computing fare based on distance.~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 98/100 ##########
23IM10028;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CH30027;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23HS10050;0;0;0;0;0;10;10;15;10;-2;-2;41;Negative fare was outputted because of faulty logic, your buisness pays the customers money if they rent.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the value of kilometer coveredEnter the hour coveredtotal rent=-580~~~~~~FAILED: Test Case 2: ~~INPUT:7 5~~Desired Output:~~~~Enter km and hrs: 7 5~~Fare: Rs. 220 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the value of kilometer coveredEnter the hour coveredtotal rent=-380~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the value of kilometer coveredEnter the hour coveredtotal rent=-392~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the value of kilometer coveredEnter the hour coveredtotal rent=-394~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the value of kilometer coveredEnter the hour coveredtotal rent=-80~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 41/100 ##########
23MF3IM17;10;10;10;0;0;10;12;12;10;0;-2;72;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled in km :~~Enter the duration of time in hour :~~rental = 500.000000~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled in km :~~Enter the duration of time in hour :~~rental = 895.000000~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 72/100 ##########
23GG10001;10;10;10;0;0;10;15;12;10;0;-5;72;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled in km:~~Enter the time taken:~~The total cost of the taxi is: 398~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled in km:~~Enter the time taken:~~The total cost of the taxi is: 320~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 72/100 ##########
23EC30036;0;0;0;0;0;10;10;0;10;-2;-2;26;Your fare came negative, that means your customers will get money for renting.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the kms travelled :enter the hrs:total fare -55~~~~FAILED: Test Case 2: ~~INPUT:7 5~~Desired Output:~~~~Enter km and hrs: 7 5~~Fare: Rs. 220 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the kms travelled :enter the hrs:total fare -45~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the kms travelled :enter the hrs:total fare -27~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the kms travelled :enter the hrs:total fare -9~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the kms travelled :enter the hrs:total fare -55~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 0 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 26/100 ##########
23IE10011;10;10;10;10;0;10;15;12;10;-2;0;85;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the total number of kilometers travelled~~Enter the hours for which taxi was retained~~Taxi fare =1120~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 85/100 ##########
23ME30001;10;10;10;10;0;10;15;12;10;-2;-2;83;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the number of kilometers travelled in the taxienter the number of hours of retaining the taxitotal fare=520~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 83/100 ##########
23IM30025;10;10;10;10;0;10;15;12;10;0;0;87;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter how many kilomters you need to travel:Enter taxi retention time(in hours):The total fare is:2320~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 87/100 ##########
23NA30028;0;10;10;10;0;10;15;12;10;0;-2;75;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter distance in km and time in hoursTotal taxi fare=520~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter distance in km and time in hoursTotal taxi fare=520~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 75/100 ##########
23CH30007;10;10;10;10;10;10;15;15;10;0;0;100;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23CE10005;10;10;0;0;0;10;12;12;10;-2;-2;60;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~Enter the total kms travelled in the taxi ride: Enter the time for which the taxi was rented ( hh mm ): ~~The total fare of the ride is 278~~~~Thankyou~~~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~Enter the total kms travelled in the taxi ride: Enter the time for which the taxi was rented ( hh mm ): ~~The total fare of the ride is 456~~~~Thankyou~~~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~Enter the total kms travelled in the taxi ride: Enter the time for which the taxi was rented ( hh mm ): ~~The total fare of the ride is 320~~~~Thankyou~~~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 60/100 ##########
23AG30019;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MT30010;10;10;0;0;0;10;12;12;10;-2;-2;60;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled:Enter hours the taxi was retained:the total fare for the taxi is 208~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled:Enter hours the taxi was retained:the total fare for the taxi is 206~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled:Enter hours the taxi was retained:the total fare for the taxi is 220~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 60/100 ##########
23NA10017;10;10;10;10;10;10;15;15;10;-1;-2;97;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -1 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 97/100 ##########
23MI10014;10;10;0;0;10;10;12;12;10;0;0;74;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter kms and hr:~~rent is 8+200rs~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter kms and hr:~~rent is 6+200+300rs~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 74/100 ##########
23HS10030;10;10;0;0;0;10;12;12;10;0;0;64;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter Kilometers travelled and Hours rented~~ The Taxi Fare is:478~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter Kilometers travelled and Hours rented~~ The Taxi Fare is:756~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter Kilometers travelled and Hours rented~~ The Taxi Fare is:320~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 64/100 ##########
